Committee,Name,Link,Published On,Meeting Date,Type
Enhanced Liaison Committee - Capacity Performance,Capacity Performance Action Items  XLS,https://www.pjm.com/-/media/committees-groups/committees/elc/20140812/20140812-capacity-performance-action-items.ashx,8.26.2014,8.12.2014,XLS
Enhanced Liaison Committee - Capacity Performance,Item 01 - Capacity Performance Problem Statement - Presentation  PDF,https://www.pjm.com/-/media/committees-groups/committees/elc/20140812/20140812-item-01-capacity-performance-problem-statement-presentation.ashx,8.26.2014,8.12.2014,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/2020/20200505/20200505-agenda.ashx,4.28.2020,5.5.2020,PDF
Finance Committee,Draft Minutes - FC - 3.24.2020  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/2020/20200505/20200505-draft-minutes-fc-20200324.ashx,4.28.2020,5.5.2020,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/2020/20200324/20200324-agenda.ashx,3.18.2020,3.24.2020,PDF
Finance Committee,Draft Minutes - FC - 11.20.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/2020/20200324/20200324-draft-minutes-fc-20191120.ashx,3.18.2020,3.24.2020,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/2020/20200324/20200324-minutes.ashx,5.7.2020,3.24.2020,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20191120/20191120-agenda.ashx,11.20.2019,11.20.2019,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20191120/20191120-minutes.ashx,4.14.2020,11.20.2019,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 9.17.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20191120/20191120-item-02-draft-minutes-fc-20190917.ashx,11.20.2019,11.20.2019,PDF
Finance Committee,Item 3 - 2020 Work Plan  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20191120/20191120-item-03-2020-work-plan.ashx,11.20.2019,11.20.2019,PDF
Finance Committee,Item 4 - 3rd Quarter Unaudited Financial Statements  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20191120/20191120-item-04-pjm-3q-unaudited-financial-statements.ashx,11.20.2019,11.20.2019,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190917/20190917-agenda.ashx,9.11.2019,9.17.2019,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190917/20190917-minutes.ashx,11.22.2019,9.17.2019,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 8.20.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190917/20190917-item-02-draft-minutes-fc-20190820.ashx,9.10.2019,9.17.2019,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190820/20190820-agenda.ashx,8.19.2019,8.20.2019,PDF
Finance Committee,Draft Minutes - FC - 5.7.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190820/20190820-draft-minutes-fc-20190507.ashx,8.19.2019,8.20.2019,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190820/20190820-minutes.ashx,9.18.2019,8.20.2019,PDF
Finance Committee,2nd Quarter Financial Statement Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190820/20190820-2q2019-financial-statement-review-finance.ashx,8.19.2019,8.20.2019,PDF
Finance Committee,2nd Quarter Unaudited Financial Statements  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190820/20190820-2q2019-pjm-financial-unaudited-statements.ashx,8.19.2019,8.20.2019,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190507/20190507-agenda.ashx,5.7.2019,5.7.2019,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190507/20190507-minutes.ashx,8.21.2019,5.7.2019,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 3.26.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190507/20190507-item-02-draft-minutes-fc-20190326.ashx,5.7.2019,5.7.2019,PDF
Finance Committee,Item 5 - First Quarter 2019 - Financial Statement Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190507/20190507-item-05-first-quarter-2019-pjm-financial-statement-review.ashx,5.7.2019,5.7.2019,PDF
Finance Committee,Item 6 - First Quarter - 2019 Financial Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190507/20190507-item-06-first-quarter-2019-financial-review.ashx,5.7.2019,5.7.2019,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190326/20190326-agenda.ashx,3.26.2019,3.26.2019,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 11.28.2019  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190326/20190326-item-02-draft-minutes-fc-20181128.ashx,3.26.2019,3.26.2019,PDF
Finance Committee,Item 5 - 2018 Audited Financial Statements  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190326/20190326-item-05-2018-audited-financial-statements.ashx,3.26.2019,3.26.2019,PDF
Finance Committee,Item 5 - 2018 Financial Statement Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20190326/20190326-item-05-2018-financial-statement-review.ashx,3.26.2019,3.26.2019,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-agenda.ashx,11.29.2018,11.28.2018,PDF
Finance Committee,Draft Minutes - FC - 9.18.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-draft-minutes-fc-9-18-2018.ashx,11.29.2018,11.28.2018,PDF
Finance Committee,Minutes  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-minutes.ashx,4.9.2019,11.28.2018,PDF
Finance Committee,Third Quarter 2018 Financial Statement Review  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-3q-2018-financial-statement-review.ashx,11.29.2018,11.28.2018,PDF
Finance Committee,PJM Unaudited Quarterly Financial Statements for Period Ending 9.30.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-unaudited-pjm-financial-statements-as-of-september-30-2018.ashx,11.29.2018,11.28.2018,PDF
Finance Committee,2019 Work Plan  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20181128/20181128-2019-finance-committee-work-plan.ashx,4.30.2019,11.28.2018,PDF
Finance Committee,Agenda  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180918/20180918-agenda.ashx,9.12.2018,9.18.2018,PDF
Finance Committee,Item 2 - Draft Minutes - FC - 8.22.2018  PDF,https://www.pjm.com/-/media/committees-groups/committees/fc/20180918/20180918-item-02-draft-minutes-fc-20180822.ashx,9.12.2018,9.18.2018,PDF
